model_id,iuid,weight
2052691,HK_20_F00000MC3V,0.107700
2052691,HK_20_F0GBR04MRX,0.237300
2052691,HK_20_F00000JP5X,0.041800
2052692,HK_20_0P0000VHMZ,0.159100
2052692,HK_20_F0HKG05BUU,0.028800
2052692,HK_20_F0GBR04D2K,0.115200
2052692,HK_20_F0GBR04AGE,0.074200
2052692,HK_20_F0000147JJ,0.227700
2052692,HK_20_F00000MC3V,0.107700
2052692,HK_20_F0GBR04MRX,0.237300
2052692,HK_20_F00000JP5X,0.025000
2052692,HK_20_F0GBR054N4,0.025000
2052693,HK_20_0P0000VHMZ,0.159100
2052693,HK_20_F0HKG05BUU,0.025900
2052693,HK_20_F0GBR04D2K,0.115200
2052693,HK_20_F0GBR04AGE,0.052100
2052693,HK_20_F0000147JJ,0.227700
2052693,HK_20_F00000MC3V,0.107700
2052693,HK_20_F0GBR04MRX,0.237300
2052693,HK_20_F0GBR053E5,0.025000
2052693,HK_20_F00000JP5X,0.025000
2052693,HK_20_F0GBR054N4,0.025000
2052694,HK_20_0P0000VHMZ,0.159100
2052694,HK_20_F0HKG05BUU,0.025900
2052694,HK_20_F0GBR04D2K,0.115200
2052694,HK_20_F0GBR053DP,0.025000
2052694,HK_20_F0GBR04AGE,0.052100
2052694,HK_20_F0000147JJ,0.227700
2052694,HK_20_F00000MC3V,0.107700
2052694,HK_20_F0GBR04MRX,0.237300
2052694,HK_20_F00000JP5X,0.025000
2052694,HK_20_F0GBR054N4,0.025000
2052695,HK_20_0P0000VHMZ,0.159100
2052695,HK_20_F0HKG05BUU,0.025900
2052695,HK_20_F00000TX82,0.025000
2052695,HK_20_F0GBR04D2K,0.115200
2052695,HK_20_F0GBR04AGE,0.052100
2052695,HK_20_F0000147JJ,0.227700
2052695,HK_20_F00000MC3V,0.107700
2052695,HK_20_F0GBR04MRX,0.237300
2052695,HK_20_F00000JP5X,0.025000
2052695,HK_20_F0GBR054N4,0.025000
2052696,HK_20_0P0000VHMZ,0.159100
2052696,HK_20_F0HKG05BUU,0.025900
2052696,HK_20_F0GBR04D2K,0.115200
2052696,HK_20_F00000VTAH,0.025000
2052696,HK_20_F0GBR04AGE,0.052100
2052696,HK_20_F0000147JJ,0.227700
2052696,HK_20_F00000MC3V,0.107700
2052696,HK_20_F0GBR04MRX,0.237300
2052696,HK_20_F00000JP5X,0.025000
2052696,HK_20_F0GBR054N4,0.025000
2052697,HK_20_0P0000VHMZ,0.159100
2052697,HK_20_F0HKG05BUU,0.028800
2052697,HK_20_F0GBR04D2K,0.115200
2052697,HK_20_F0GBR04AGE,0.074200
2052697,HK_20_F0000147JJ,0.227700
2052697,HK_20_F00000MC3V,0.107700
2052697,HK_20_F0GBR04MRX,0.237300
2052697,HK_20_F00000JP5X,0.025000
2052697,HK_20_F0000002PO,0.025000
2052698,HK_20_0P0000VHMZ,0.159100
2052698,HK_20_F0HKG05BUU,0.025900
2052698,HK_20_F0GBR04D2K,0.115200
2052698,HK_20_F0GBR04AGE,0.052100
2052698,HK_20_F0000147JJ,0.227700
2052698,HK_20_F00000MC3V,0.107700
2052698,HK_20_F0GBR04MRX,0.237300
2052698,HK_20_F0GBR053E5,0.025000
2052698,HK_20_F00000JP5X,0.025000
2052698,HK_20_F0000002PO,0.025000
2052699,HK_20_0P0000VHMZ,0.159100
2052699,HK_20_F0HKG05BUU,0.025900
2052699,HK_20_F0GBR04D2K,0.115200
2052699,HK_20_F0GBR053DP,0.025000
2052699,HK_20_F0GBR04AGE,0.052100
2052699,HK_20_F0000147JJ,0.227700
2052699,HK_20_F00000MC3V,0.107700
2052699,HK_20_F0GBR04MRX,0.237300
2052699,HK_20_F00000JP5X,0.025000
2052699,HK_20_F0000002PO,0.025000
2052700,HK_20_0P0000VHMZ,0.159100
2052700,HK_20_F0HKG05BUU,0.025900
2052700,HK_20_F00000TX82,0.025000
2052700,HK_20_F0GBR04D2K,0.115200
2052700,HK_20_F0GBR04AGE,0.052100
2052700,HK_20_F0000147JJ,0.227700
2052700,HK_20_F00000MC3V,0.107700
2052700,HK_20_F0GBR04MRX,0.237300
2052700,HK_20_F00000JP5X,0.025000
2052700,HK_20_F0000002PO,0.025000
2052701,HK_20_0P0000VHMZ,0.159100
2052701,HK_20_F0HKG05BUU,0.025900
2052701,HK_20_F0GBR04D2K,0.115200
2052701,HK_20_F00000VTAH,0.025000
2052701,HK_20_F0GBR04AGE,0.052100
2052701,HK_20_F0000147JJ,0.227700
2052701,HK_20_F00000MC3V,0.107700
2052701,HK_20_F0GBR04MRX,0.237300
2052701,HK_20_F00000JP5X,0.025000
2052701,HK_20_F0000002PO,0.025000
2052702,HK_20_0P0000VHMZ,0.148800
2052702,HK_20_F0HKG05BUU,0.041400
2052702,HK_20_F0GBR04D2K,0.107900
2052702,HK_20_F0GBR04AGE,0.127600
2052702,HK_20_F0000147JJ,0.213200
2052702,HK_20_F00000MC3V,0.100900
2052702,HK_20_F0GBR04MRX,0.222200
2052702,HK_20_F00000JP5X,0.038000
2052703,HK_20_0P0000VHMZ,0.148800
2052703,HK_20_F0HKG05BUU,0.036400
2052703,HK_20_F0GBR04D2K,0.107900
2052703,HK_20_F0GBR04AGE,0.112200
2052703,HK_20_F0000147JJ,0.213200
2052703,HK_20_F00000MC3V,0.100900
2052703,HK_20_F0GBR04MRX,0.222200
2052703,HK_20_F0GBR053E5,0.025000
2052703,HK_20_F00000JP5X,0.033400
2052704,HK_20_0P0000VHMZ,0.148800
