dist_key,dist_type,dist_value,model_id
Energy,300,5.260000,2052199
Technology,300,17.940000,2052199
Real Estate,300,0.380000,2052199
Healthcare,300,12.420000,2052199
Consumer Defensive,300,5.710000,2052199
Industrials,300,10.410000,2052199
Consumer Cyclical,300,14.390000,2052199
Investment Grade Bond,500,91.520000,2052199
High Yield Bond,500,8.480000,2052199
USA,200,27.960000,2052200
Others,200,8.050000,2052200
Singapore,200,0.990000,2052200
Hong Kong,200,3.670000,2052200
Japan,200,6.720000,2052200
Philippines,200,1.610000,2052200
Thailand,200,1.390000,2052200
Switzerland,200,0.480000,2052200
India,200,2.230000,2052200
Spain,200,1.090000,2052200
Canada,200,2.110000,2052200
Netherlands,200,0.220000,2052200
South Korea,200,3.310000,2052200
China,200,20.020000,2052200
UK,200,3.130000,2052200
Italy,200,4.150000,2052200
Mexico,200,0.740000,2052200
France,200,3.120000,2052200
Australia,200,2.760000,2052200
Germany,200,3.880000,2052200
Indonesia,200,2.370000,2052200
Financial Services,300,18.350000,2052200
Communication Services,300,12.220000,2052200
Utilities,300,1.070000,2052200
Basic Materials,300,1.850000,2052200
Energy,300,5.260000,2052200
Technology,300,17.940000,2052200
Real Estate,300,0.380000,2052200
Healthcare,300,12.420000,2052200
Consumer Defensive,300,5.710000,2052200
Industrials,300,10.410000,2052200
Consumer Cyclical,300,14.390000,2052200
Investment Grade Bond,500,91.520000,2052200
High Yield Bond,500,8.480000,2052200
USA,200,27.960000,2052201
Others,200,8.040000,2052201
Singapore,200,0.990000,2052201
Hong Kong,200,3.670000,2052201
Japan,200,6.730000,2052201
Philippines,200,1.610000,2052201
Thailand,200,1.390000,2052201
Switzerland,200,0.480000,2052201
India,200,2.230000,2052201
Spain,200,1.090000,2052201
Canada,200,2.110000,2052201
